Date,TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
07-01-2022,06:00:00,2189.74,947.04,423.46,669.37,94.69,31.95
07-01-2022,08:00:00,3783.92,1599.93,835.32,1126.65,144.03,45.63
07-01-2022,10:00:00,4552.64,1897.82,963.71,1401.52,204.24,44.29
07-01-2022,12:00:00,4396.26,1753.6,955.32,1408.16,199.87,41.11
07-01-2022,14:00:00,3669.86,1457.22,775.82,1179.2,188.16,37.09
07-01-2022,16:00:00,3354.71,1315.59,693.16,1102.29,176.13,33.08
07-01-2022,18:00:00,3603.08,1456.5,736.81,1171.57,169.75,37.94
07-01-2022,20:00:00,3299.82,1360.02,669.54,1048.53,148.59,38.03
07-01-2022,22:00:00,2755.43,1165.59,569.55,828.77,132.97,32.38
07-01-2022,23:00:00,2376.62,991.81,474.71,738.53,122.95,26.94
08-01-2022,00:00:00,1947.33,785.98,383.73,628.51,107.57,23.07
08-01-2022,02:00:00,1553.67,604.04,292.34,527.43,95.53,19.96
08-01-2022,04:00:00,1318.11,480.36,248.88,474.0,82.69,19.61
08-01-2022,06:00:00,1777.09,730.15,351.06,567.31,94.67,24.64
08-01-2022,08:00:00,2760.93,1087.84,616.94,878.07,116.24,36.28
08-01-2022,10:00:00,3345.12,1388.16,731.34,1014.63,140.29,38.47
08-01-2022,12:00:00,3258.77,1432.29,710.3,903.55,143.4,38.2
08-01-2022,14:00:00,2872.23,1284.22,613.93,778.23,135.19,34.29
08-01-2022,16:00:00,2464.95,1066.41,514.07,713.03,125.23,29.46
08-01-2022,18:00:00,2763.21,1174.72,607.91,780.73,139.5,36.64
08-01-2022,20:00:00,2736.44,1160.81,595.94,779.7,137.43,37.73
08-01-2022,22:00:00,2395.08,1013.6,521.8,671.94,132.18,32.13
08-01-2022,23:00:00,2044.69,869.03,444.57,567.9,121.28,26.87
09-01-2022,00:00:00,1694.18,715.64,353.43,473.75,111.14,22.8
09-01-2022,02:00:00,1387.4,588.98,272.06,392.65,100.3,20.29
09-01-2022,04:00:00,1327.68,562.66,249.59,384.38,98.13,20.33
09-01-2022,06:00:00,1699.65,715.22,352.28,487.01,102.88,25.73
09-01-2022,08:00:00,2740.11,1106.96,621.25,831.49,123.02,34.36
09-01-2022,10:00:00,3570.08,1461.83,780.15,1119.27,141.17,39.42
09-01-2022,12:00:00,3704.89,1520.95,813.77,1143.61,148.38,37.98
09-01-2022,14:00:00,3148.3,1421.47,636.48,880.24,144.87,34.48
09-01-2022,16:00:00,2552.1,1113.72,515.71,735.73,133.2,30.84
09-01-2022,18:00:00,2859.21,1233.73,599.53,813.44,147.0,38.3
09-01-2022,20:00:00,2821.68,1228.9,584.09,795.76,147.22,38.95
09-01-2022,22:00:00,2532.31,1114.24,521.51,701.8,137.15,33.77
09-01-2022,23:00:00,2134.2,924.82,441.61,593.76,125.8,27.95
10-01-2022,00:00:00,1743.14,731.6,348.55,507.16,114.82,23.49
10-01-2022,02:00:00,1401.76,576.35,267.43,418.44,107.08,21.09
10-01-2022,04:00:00,1371.68,572.06,256.1,407.26,101.79,21.9
10-01-2022,06:00:00,1988.32,856.41,392.35,580.16,109.73,31.52
10-01-2022,08:00:00,3714.0,1547.22,801.88,1117.63,166.37,46.83
10-01-2022,10:00:00,4576.92,1879.64,946.68,1441.55,219.92,45.88
10-01-2022,12:00:00,4327.81,1694.27,926.11,1410.5,214.5,41.62
10-01-2022,14:00:00,3650.52,1434.9,780.72,1164.49,202.71,35.9
10-01-2022,16:00:00,3348.94,1280.2,718.06,1092.43,190.21,32.8
10-01-2022,18:00:00,3634.25,1450.81,751.92,1170.59,187.15,39.29
10-01-2022,20:00:00,3436.21,1433.39,701.11,1063.82,163.68,41.69
12-01-2022,00:00:00,2039.88,831.03,404.05,638.24,120.64,25.33
12-01-2022,02:00:00,1612.24,651.51,290.51,519.77,111.0,22.82
12-01-2022,04:00:00,1554.92,647.38,270.35,490.55,109.23,23.23
12-01-2022,06:00:00,2105.4,891.86,392.23,653.65,117.1,32.63
12-01-2022,08:00:00,3851.32,1590.82,814.27,1182.47,163.91,47.6
12-01-2022,10:00:00,4601.24,1832.7,960.8,1499.14,208.01,47.86
12-01-2022,12:00:00,4368.87,1734.48,909.17,1437.97,203.42,43.02
12-01-2022,14:00:00,3624.36,1447.02,755.75,1167.32,184.41,35.3
12-01-2022,16:00:00,3350.24,1298.69,710.72,1098.52,177.78,32.92
12-01-2022,18:00:00,3697.16,1487.47,789.52,1173.15,171.77,40.09
12-01-2022,20:00:00,3531.08,1491.55,724.72,1083.75,152.8,43.04
12-01-2022,22:00:00,3034.57,1294.38,650.33,905.26,139.99,37.06
12-01-2022,23:00:00,2564.42,1064.75,525.58,792.57,128.87,30.45
13-01-2022,00:00:00,2097.22,856.18,420.63,658.88,117.65,26.03
13-01-2022,02:00:00,1647.32,665.52,300.88,534.32,108.82,23.09
13-01-2022,04:00:00,1562.71,642.59,275.72,500.37,105.63,23.54
13-01-2022,06:00:00,2131.41,882.53,405.87,673.74,114.33,33.32
13-01-2022,08:00:00,3807.06,1560.76,803.55,1194.84,160.67,48.83
13-01-2022,10:00:00,4567.24,1822.93,958.01,1495.47,200.67,46.55
13-01-2022,12:00:00,4367.57,1681.84,931.45,1467.1,206.05,43.92
13-01-2022,14:00:00,3747.06,1482.87,787.34,1199.57,202.11,39.3
13-01-2022,16:00:00,3464.91,1348.81,724.24,1141.36,179.97,36.64
13-01-2022,18:00:00,3757.35,1516.48,768.53,1223.54,171.55,42.07
13-01-2022,20:00:00,3497.98,1440.62,712.1,1116.05,152.72,42.63
14-01-2022,00:00:00,2116.63,766.37,461.34,732.54,110.6,26.3
14-01-2022,02:00:00,1659.0,575.88,340.81,599.66,102.61,23.81
14-01-2022,04:00:00,1599.59,573.16,314.82,569.55,102.23,24.56
14-01-2022,06:00:00,2288.05,856.9,478.58,789.37,107.06,33.45
14-01-2022,08:00:00,4086.21,1512.08,934.27,1407.87,151.72,49.25
14-01-2022,10:00:00,4997.66,2020.26,1065.34,1609.68,205.9,50.95
14-01-2022,12:00:00,4730.47,1886.57,1017.37,1527.22,208.38,45.84
14-01-2022,14:00:00,3978.59,1612.05,831.82,1262.49,197.93,40.13
14-01-2022,16:00:00,3587.32,1376.95,750.79,1201.66,183.45,37.72
14-01-2022,18:00:00,3812.39,1533.9,804.34,1228.47,175.28,43.21
14-01-2022,20:00:00,3656.98,1533.94,745.08,1142.74,155.91,44.59
14-01-2022,22:00:00,3137.27,1313.96,665.07,948.49,142.26,38.16
14-01-2022,23:00:00,2630.87,1088.08,539.07,818.11,129.59,31.66
15-01-2022,00:00:00,2143.94,856.86,431.22,689.11,117.54,27.17
15-01-2022,02:00:00,1668.69,656.68,307.15,557.96,107.27,23.84
15-01-2022,04:00:00,1572.58,626.01,277.29,525.99,103.94,24.35
15-01-2022,06:00:00,2044.45,836.89,387.23,660.59,110.88,31.56
15-01-2022,08:00:00,3276.67,1362.22,696.3,1008.85,138.69,43.24
15-01-2022,10:00:00,3933.59,1688.72,834.12,1162.53,164.87,46.09
15-01-2022,12:00:00,3936.7,1716.17,840.69,1131.03,166.4,44.52
15-01-2022,14:00:00,3350.55,1463.12,711.53,952.18,152.16,39.73
15-01-2022,16:00:00,2907.58,1265.21,604.95,834.0,140.74,35.13
15-01-2022,18:00:00,3278.19,1443.84,695.43,911.85,152.5,43.42
15-01-2022,20:00:00,3228.14,1440.63,669.95,891.43,149.26,43.93
15-01-2022,22:00:00,2894.1,1282.11,611.05,795.85,140.09,38.17
15-01-2022,23:00:00,2432.99,1055.06,521.32,671.3,129.5,32.58
16-01-2022,00:00:00,1967.1,860.37,416.21,559.08,86.82,27.46
16-01-2022,02:00:00,1521.68,659.06,302.83,439.74,81.61,24.02
16-01-2022,04:00:00,1450.8,631.34,276.97,425.37,79.65,23.93
16-01-2022,06:00:00,1849.0,812.91,370.42,537.73,83.57,29.46
16-01-2022,08:00:00,3025.4,1272.53,677.63,915.32,90.81,39.2
16-01-2022,10:00:00,3988.66,1725.85,852.44,1232.79,96.71,44.75
16-01-2022,12:00:00,4034.77,1722.37,890.8,1254.18,92.22,38.57
16-01-2022,14:00:00,3381.63,1443.81,750.21,1036.39,88.2,33.72
16-01-2022,16:00:00,2767.84,1181.07,594.69,850.37,84.99,30.38
16-01-2022,18:00:00,3149.01,1369.14,675.51,935.93,98.7,41.13
16-01-2022,20:00:00,3219.25,1414.21,666.19,962.75,100.94,43.92
16-01-2022,22:00:00,2921.88,1292.75,615.24,854.78,93.77,38.71
16-01-2022,23:00:00,2400.35,1038.95,505.79,714.2,85.67,31.27
17-01-2022,00:00:00,1949.83,831.09,406.57,584.07,83.01,26.84
17-01-2022,02:00:00,1517.34,639.93,294.99,469.48,74.81,23.75
17-01-2022,04:00:00,1469.01,621.58,277.75,457.61,77.08,24.31
17-01-2022,06:00:00,2057.66,887.35,415.53,620.68,81.51,33.47
17-01-2022,08:00:00,3911.11,1649.89,861.51,1200.05,110.69,50.96
17-01-2022,10:00:00,4832.39,1998.87,1017.12,1569.27,150.41,51.21
17-01-2022,12:00:00,4595.91,1837.64,978.29,1522.25,158.66,40.59
17-01-2022,14:00:00,4008.02,1572.22,836.72,1308.45,211.97,41.56
17-01-2022,16:00:00,3711.28,1444.81,770.55,1224.4,198.44,37.35
17-01-2022,18:00:00,3913.66,1572.93,811.4,1264.23,181.99,43.03
17-01-2022,20:00:00,3774.83,1591.36,763.88,1172.48,169.48,45.9
17-01-2022,22:00:00,3251.45,1382.21,678.85,968.29,145.38,38.84
17-01-2022,23:00:00,2727.39,1120.23,577.35,837.34,133.51,31.75
18-01-2022,00:00:00,2198.86,873.99,454.88,698.58,123.76,27.44
18-01-2022,02:00:00,1704.44,669.12,325.12,557.07,111.36,24.18
18-01-2022,04:00:00,1607.06,651.47,299.18,537.5,78.89,24.78
18-01-2022,06:00:00,2168.07,916.59,431.91,689.26,85.64,33.97
18-01-2022,08:00:00,4007.02,1696.48,859.78,1248.44,111.7,52.42
18-01-2022,10:00:00,4821.26,1966.07,996.62,1547.67,217.46,51.75
18-01-2022,12:00:00,4627.3,1821.01,961.81,1527.41,223.54,46.06
18-01-2022,14:00:00,3903.03,1535.13,812.5,1266.48,215.51,39.81
18-01-2022,16:00:00,3599.33,1377.42,740.9,1201.18,206.81,38.97
18-01-2022,18:00:00,3983.38,1575.56,838.77,1300.83,185.33,44.48
18-01-2022,20:00:00,3818.88,1579.22,775.67,1207.3,171.51,45.8
18-01-2022,22:00:00,3304.55,1397.02,707.81,983.55,146.2,38.85
18-01-2022,23:00:00,2747.44,1124.07,579.53,851.62,134.16,31.65
19-01-2022,00:00:00,2218.91,894.48,459.51,696.22,120.84,26.84
19-01-2022,02:00:00,1711.69,674.59,318.94,564.9,112.49,24.25
19-01-2022,04:00:00,1628.99,656.52,292.57,530.88,108.58,25.09
19-01-2022,06:00:00,2200.09,909.48,422.8,692.83,118.85,34.48
19-01-2022,08:00:00,3987.35,1637.26,841.98,1256.33,166.15,51.54
19-01-2022,10:00:00,4937.94,1977.86,1010.76,1547.79,307.89,51.03
19-01-2022,12:00:00,4743.37,1847.02,1005.52,1518.58,283.81,46.08
19-01-2022,14:00:00,3913.63,1516.71,826.47,1260.33,232.79,38.42
19-01-2022,16:00:00,3623.3,1415.62,757.63,1186.49,190.15,35.31
19-01-2022,18:00:00,3914.64,1569.84,843.7,1251.95,170.94,41.99
19-01-2022,20:00:00,3744.25,1552.53,773.3,1174.26,160.68,44.32
19-01-2022,22:00:00,3256.05,1368.09,696.77,982.0,138.88,38.37
19-01-2022,23:00:00,2754.94,1140.22,586.5,839.64,128.51,31.54
20-01-2022,00:00:00,2185.43,883.96,452.31,680.31,121.28,27.07
20-01-2022,02:00:00,1698.07,668.41,323.08,551.73,114.7,24.2
20-01-2022,04:00:00,1620.37,653.54,294.68,521.8,110.38,24.54
20-01-2022,06:00:00,2168.61,898.22,426.65,677.34,116.46,33.36
20-01-2022,08:00:00,3901.66,1637.37,822.86,1201.0,151.49,49.94
20-01-2022,10:00:00,4797.41,1961.02,996.58,1539.18,204.66,50.66
20-01-2022,12:00:00,4343.8,1706.1,939.71,1405.12,205.14,44.72
20-01-2022,14:00:00,3772.86,1490.13,793.65,1234.83,191.39,37.82
20-01-2022,16:00:00,3598.53,1388.0,745.26,1210.06,184.96,36.38
20-01-2022,18:00:00,3839.78,1519.69,819.89,1241.42,177.99,41.43
20-01-2022,20:00:00,3714.75,1541.43,772.58,1161.65,159.26,44.54
20-01-2022,22:00:00,3230.91,1386.03,659.16,970.48,145.69,38.35
20-01-2022,23:00:00,2713.46,1123.3,566.53,838.69,127.91,31.27
21-01-2022,00:00:00,2196.31,879.73,452.9,697.35,118.73,26.99
21-01-2022,02:00:00,1720.45,678.87,324.42,567.01,109.67,24.1
21-01-2022,04:00:00,1620.69,648.14,292.16,533.34,106.94,24.57
21-01-2022,06:00:00,2220.91,914.87,436.17,703.86,111.42,33.46
21-01-2022,08:00:00,4038.65,1658.04,879.07,1254.78,157.62,50.68
21-01-2022,10:00:00,5043.67,2038.85,1071.85,1631.47,202.45,50.54
21-01-2022,12:00:00,4838.75,1906.47,1071.56,1567.04,206.75,42.63
21-01-2022,14:00:00,3909.19,1513.82,854.07,1276.17,192.19,35.73
21-01-2022,16:00:00,3557.92,1366.48,743.13,1197.9,182.39,34.43
21-01-2022,18:00:00,3794.63,1505.48,791.07,1252.63,169.11,40.1
21-01-2022,20:00:00,3599.0,1480.2,741.6,1150.81,152.9,42.53
21-01-2022,22:00:00,3144.17,1299.88,672.87,962.73,141.33,37.52
21-01-2022,23:00:00,2694.95,1094.87,563.54,847.98,131.02,31.05
22-01-2022,00:00:00,2187.23,879.42,438.3,693.22,123.67,26.7
22-01-2022,02:00:00,1690.5,663.46,321.11,559.63,107.37,22.92
22-01-2022,04:00:00,1600.43,636.74,290.77,528.25,105.63,23.71
22-01-2022,06:00:00,2036.28,825.25,397.8,651.89,111.8,30.32
22-01-2022,08:00:00,3148.53,1288.8,689.55,967.97,131.38,42.01
22-01-2022,10:00:00,3854.28,1646.66,834.85,1136.15,154.68,45.53
22-01-2022,12:00:00,3810.77,1632.58,820.53,1122.6,158.68,43.07
22-01-2022,14:00:00,3368.02,1458.25,731.73,953.94,154.51,38.44
22-01-2022,16:00:00,2944.37,1250.15,630.7,858.17,143.66,33.69
22-01-2022,18:00:00,3151.65,1377.64,681.91,873.22,148.31,40.55
22-01-2022,20:00:00,3143.5,1383.7,666.43,872.24,147.99,42.43
22-01-2022,22:00:00,2877.95,1260.9,627.65,784.72,139.77,37.52
22-01-2022,23:00:00,2461.45,1066.61,537.49,669.92,132.72,31.68
23-01-2022,00:00:00,1992.33,856.86,429.06,543.2,117.88,26.41
23-01-2022,02:00:00,1545.18,659.62,297.55,441.21,108.8,23.33
23-01-2022,04:00:00,1458.93,627.69,271.97,413.72,107.79,23.83
23-01-2022,06:00:00,1837.57,801.77,358.39,521.24,110.71,28.02
23-01-2022,08:00:00,2978.62,1247.2,666.74,871.91,126.22,36.78
23-01-2022,10:00:00,3968.93,1685.06,846.53,1223.45,135.51,40.67
23-01-2022,12:00:00,4069.62,1723.23,889.35,1247.53,138.23,32.27
23-01-2022,14:00:00,3563.31,1519.04,755.34,1079.44,138.64,36.89
23-01-2022,16:00:00,2934.71,1223.27,610.29,908.78,134.47,29.96
23-01-2022,18:00:00,3105.52,1306.11,664.02,933.22,133.03,39.65
23-01-2022,20:00:00,3126.3,1347.18,646.1,925.46,134.88,42.07
23-01-2022,22:00:00,2857.25,1229.63,608.63,825.98,128.29,36.85
23-01-2022,23:00:00,2430.37,1031.53,516.17,709.83,120.51,30.42
24-01-2022,00:00:00,1976.84,820.63,412.08,586.13,112.41,25.96
24-01-2022,02:00:00,1546.59,633.1,297.62,470.71,104.98,23.43
24-01-2022,04:00:00,1492.52,619.06,274.65,456.68,103.87,24.09
24-01-2022,06:00:00,2095.85,891.99,412.9,626.88,110.81,32.87
24-01-2022,08:00:00,3947.58,1636.02,863.56,1206.82,153.75,49.97
24-01-2022,10:00:00,4827.3,1962.69,1008.51,1556.73,200.32,49.67
24-01-2022,12:00:00,4644.21,1825.71,990.95,1529.39,204.95,46.31
24-01-2022,14:00:00,4109.72,1629.59,864.12,1330.71,202.6,43.49
24-01-2022,16:00:00,3671.83,1416.52,767.76,1221.82,190.31,39.45
24-01-2022,18:00:00,3798.93,1500.54,800.08,1243.33,173.94,41.16
24-01-2022,20:00:00,3722.67,1538.08,774.08,1175.96,154.43,44.82
24-01-2022,22:00:00,3254.1,1369.08,697.39,975.86,140.25,39.09
24-01-2022,23:00:00,2768.12,1137.88,586.34,857.55,130.34,32.14
25-01-2022,00:00:00,2234.3,904.39,461.2,699.36,120.74,27.23
25-01-2022,02:00:00,1719.97,675.38,328.94,568.33,106.48,24.48
25-01-2022,04:00:00,1637.88,657.35,300.9,533.83,105.35,24.94
25-01-2022,06:00:00,2184.13,915.47,416.41,687.42,109.58,33.88
25-01-2022,08:00:00,3944.44,1628.93,809.65,1220.93,199.9,51.39
25-01-2022,10:00:00,4881.59,1963.59,998.87,1565.03,255.82,51.82
25-01-2022,12:00:00,4744.49,1864.72,990.99,1539.71,257.21,49.18
25-01-2022,14:00:00,4193.26,1652.19,869.93,1349.83,234.52,46.94
25-01-2022,16:00:00,3854.53,1529.34,810.68,1260.79,174.19,42.98
25-01-2022,18:00:00,4012.67,1609.43,843.05,1302.58,169.54,44.82
27-01-2022,00:00:00,2009.71,901.88,417.86,513.76,129.55,27.75
27-01-2022,02:00:00,1516.28,708.44,276.39,370.48,122.54,24.15
27-01-2022,04:00:00,1463.93,686.19,254.66,363.07,121.27,24.85
27-01-2022,06:00:00,2012.18,912.11,393.54,527.06,126.31,34.03
27-01-2022,08:00:00,3857.62,1616.05,831.5,1154.98,165.73,52.73
27-01-2022,10:00:00,4707.98,1862.48,986.1,1555.93,213.38,47.87
27-01-2022,12:00:00,4440.08,1738.55,948.58,1457.18,209.1,42.8
27-01-2022,14:00:00,3696.09,1456.6,781.39,1192.79,193.69,38.02
27-01-2022,16:00:00,3480.57,1339.13,741.72,1163.94,186.31,35.09
27-01-2022,18:00:00,3774.07,1483.57,802.69,1227.76,183.66,40.6
27-01-2022,20:00:00,3684.24,1519.18,759.62,1163.86,163.72,44.12
27-01-2022,22:00:00,3235.35,1366.66,684.4,961.16,153.9,38.53
27-01-2022,23:00:00,2754.73,1139.76,575.26,837.56,144.11,31.86
28-01-2022,00:00:00,2234.77,885.98,464.91,707.21,128.14,27.27
28-01-2022,02:00:00,1718.68,679.22,324.67,552.64,121.34,24.47
28-01-2022,04:00:00,1632.49,653.07,294.42,527.66,119.57,24.81
28-01-2022,06:00:00,2254.56,932.23,438.76,701.18,126.36,34.66
28-01-2022,08:00:00,4187.59,1739.65,894.39,1296.78,164.64,52.82
28-01-2022,10:00:00,4994.85,2005.07,1075.35,1608.15,208.25,47.12
28-01-2022,12:00:00,4676.01,1816.31,1047.52,1515.09,208.93,41.08
28-01-2022,14:00:00,3760.42,1446.32,823.84,1224.28,196.25,34.27
28-01-2022,16:00:00,3415.07,1283.22,721.15,1163.36,186.3,30.54
28-01-2022,18:00:00,3650.42,1441.76,776.39,1194.58,173.57,36.64
28-01-2022,20:00:00,3677.35,1522.05,765.37,1142.04,166.31,42.59
28-01-2022,22:00:00,3120.83,1313.8,638.74,946.36,153.72,37.33
28-01-2022,23:00:00,2680.87,1103.02,564.94,811.94,141.71,31.26
29-01-2022,00:00:00,2181.69,881.02,440.68,677.93,134.49,27.18
29-01-2022,02:00:00,1693.25,666.03,315.15,547.04,125.15,23.8
29-01-2022,04:00:00,1621.36,653.24,287.32,518.57,122.92,24.01
29-01-2022,06:00:00,2149.37,885.69,419.67,665.66,126.9,31.02
29-01-2022,08:00:00,3835.66,1580.31,824.44,1198.19,150.94,43.73
29-01-2022,10:00:00,4317.61,1800.72,944.87,1326.07,168.96,40.75
29-01-2022,12:00:00,4082.72,1642.48,941.99,1262.6,161.82,33.27
29-01-2022,14:00:00,3280.33,1337.85,736.55,997.64,150.34,26.71
29-01-2022,16:00:00,3000.43,1199.87,681.5,922.3,144.1,24.09
29-01-2022,18:00:00,3372.86,1331.03,723.86,932.99,322.86,33.73
29-01-2022,20:00:00,3361.76,1376.73,687.57,892.27,336.82,39.89
29-01-2022,22:00:00,2954.39,1301.76,627.35,822.05,140.41,35.41
29-01-2022,23:00:00,2527.34,1103.88,529.24,705.47,135.2,30.04
30-01-2022,00:00:00,2044.3,909.71,411.97,545.12,131.68,25.76
30-01-2022,02:00:00,1614.11,737.07,291.3,424.16,123.77,22.55
30-01-2022,04:00:00,1517.89,705.07,255.73,398.21,122.12,22.28
30-01-2022,06:00:00,1979.49,894.98,370.7,540.75,126.42,27.84
30-01-2022,08:00:00,3443.43,1431.68,738.77,1061.66,138.87,38.76
30-01-2022,10:00:00,4282.89,1716.86,924.93,1420.23,141.91,38.18
30-01-2022,12:00:00,4181.86,1663.42,923.46,1369.43,152.79,31.28
30-01-2022,14:00:00,3319.7,1298.14,730.97,1087.66,145.87,25.58
30-01-2022,16:00:00,2842.21,1072.8,608.18,967.96,139.93,22.91
30-01-2022,18:00:00,3160.81,1241.16,675.45,1026.41,155.28,32.61
30-01-2022,20:00:00,3193.79,1311.14,668.44,986.43,159.68,38.07
30-01-2022,22:00:00,2812.67,1180.93,586.11,831.4,153.7,34.37
30-01-2022,23:00:00,2412.4,997.36,494.45,724.58,144.78,28.51
31-01-2022,00:00:00,1979.21,790.26,408.6,600.8,140.01,24.56
31-01-2022,02:00:00,1554.2,600.83,289.18,496.98,130.55,21.88
31-01-2022,04:00:00,1503.39,589.02,265.09,483.09,130.1,21.75
31-01-2022,06:00:00,2137.8,900.32,426.23,620.88,138.03,32.03
31-01-2022,08:00:00,3928.05,1742.88,860.18,1065.86,173.45,48.26
31-01-2022,10:00:00,4490.47,1922.09,977.59,1294.11,208.92,43.35
31-01-2022,12:00:00,4173.15,1607.97,879.78,1400.27,207.84,36.32
31-01-2022,14:00:00,3502.53,1338.26,746.44,1164.1,198.26,30.97
31-01-2022,16:00:00,3330.3,1262.77,672.23,1139.25,194.27,30.06
31-01-2022,18:00:00,3598.96,1413.93,728.1,1202.18,187.8,34.63
31-01-2022,20:00:00,3466.5,1395.52,701.97,1123.45,175.08,38.99
31-01-2022,22:00:00,2949.13,1213.63,620.34,894.77,158.71,33.78
31-01-2022,23:00:00,2509.03,1014.53,517.19,778.49,147.06,27.6
01-02-2022,00:00:00,2045.62,789.35,419.13,652.09,142.56,23.9
01-02-2022,02:00:00,1619.09,618.33,302.59,530.64,132.7,21.54
01-02-2022,04:00:00,1575.53,616.25,282.08,508.93,131.21,22.06
01-02-2022,06:00:00,2231.48,914.35,434.49,691.01,138.72,31.83
01-02-2022,08:00:00,4026.37,1649.98,860.37,1253.4,175.7,48.63
01-02-2022,10:00:00,4573.53,1837.26,919.05,1521.79,208.26,43.77
01-02-2022,12:00:00,4208.94,1569.94,813.6,1354.99,395.21,37.81
01-02-2022,14:00:00,3471.53,1339.06,712.93,1176.63,178.49,31.39
01-02-2022,16:00:00,3247.51,1240.43,648.21,1128.41,169.4,29.08
01-02-2022,18:00:00,3528.23,1394.59,721.16,1181.9,167.39,34.05
01-02-2022,20:00:00,3456.14,1425.01,694.42,1106.59,158.77,38.49
01-02-2022,22:00:00,2950.21,1229.28,609.73,911.37,140.16,33.49
01-02-2022,23:00:00,2498.89,1010.56,517.87,791.18,128.01,27.54
02-02-2022,00:00:00,2034.98,809.0,414.06,651.97,117.34,23.26
02-02-2022,02:00:00,1613.08,628.9,301.08,540.82,103.48,21.4
02-02-2022,04:00:00,1561.56,618.51,280.64,522.93,103.19,21.59
